section,substance,utensil,number,quantity,measurement,position,material,offering,deity,Days,Month,MonthName,frequency tag,decorations,additional
1,barley beer,sappu,3,,,right offering table,gold,rabu morning,Anu,365,12,,every day entire year,,
1,labku beer,sappu,4,,,right offering table,gold,rabu morning,Anu,365,12,,every day entire year,,
1,barley beer,sappu,3,,,left offering table,gold,rabu morning,Anu,365,12,,every day entire year,,
1,labku beer,sappu,1,,,left offering table,gold,rabu morning,Anu,365,12,,every day entire year,,
1,nasu beer,sappu,1,,,left offering table,gold,rabu morning,Anu,365,12,,every day entire year,,
1,zarbabu beer,sappu,1,,,left offering table,gold,rabu morning,Anu,365,12,,every day entire year,,
1,milk,sappu,1,,,left offering table,alabaster,rabu morning,Anu,365,12,,every day entire year,,
1,drawn wine,sappu,4,,,offering table,gold,rabu morning,Anu,365,12,,every day entire year,,
1,barley beer,sappu,3,,,right offering table,gold,tardennu morning ,Anu,365,12,,every day entire year,,
1,barley beer,sappu,3,,,right offering table,gold,rabu evening,Anu,365,12,,every day entire year,,
1,barley beer,sappu,3,,,right offering table,gold,tardennu evening,Anu,365,12,,every day entire year,,
1,labku beer,sappu,4,,,right offering table,gold,tardennu morning ,Anu,365,12,,every day entire year,,
1,labku beer,sappu,4,,,right offering table,gold,rabu evening,Anu,365,12,,every day entire year,,
1,labku beer,sappu,4,,,right offering table,gold,tardennu evening,Anu,365,12,,every day entire year,,
1,barley beer,sappu,3,,,left offering table,gold,tardennu morning ,Anu,365,12,,every day entire year,,
1,barley beer,sappu,3,,,left offering table,gold,rabu evening,Anu,365,12,,every day entire year,,
1,barley beer,sappu,3,,,left offering table,gold,tardennu evening,Anu,365,12,,every day entire year,,
1,labku beer,sappu,1,,,left offering table,gold,tardennu morning ,Anu,365,12,,every day entire year,,
1,labku beer,sappu,1,,,left offering table,gold,rabu evening,Anu,365,12,,every day entire year,,
1,labku beer,sappu,1,,,left offering table,gold,tardennu evening,Anu,365,12,,every day entire year,,
1,nasu beer,sappu,1,,,left offering table,gold,tardennu morning ,Anu,365,12,,every day entire year,,
1,nasu beer,sappu,1,,,left offering table,gold,rabu evening,Anu,365,12,,every day entire year,,
1,nasu beer,sappu,1,,,left offering table,gold,tardennu evening,Anu,365,12,,every day entire year,,
1,zarbabu beer,sappu,1,,,left offering table,gold,tardennu morning ,Anu,365,12,,every day entire year,,
1,zarbabu beer,sappu,1,,,left offering table,gold,rabu evening,Anu,365,12,,every day entire year,,
1,zarbabu beer,sappu,1,,,left offering table,gold,tardennu evening,Anu,365,12,,every day entire year,,
1,drawn wine,sappu,4,,,offering table,gold,tardennu morning ,Anu,365,12,,every day entire year,,
1,drawn wine,sappu,4,,,offering table,gold,rabu evening,Anu,365,12,,every day entire year,,
1,drawn wine,sappu,4,,,offering table,gold,tardenu evening,Anu,365,12,,every day entire year,,
1,milk,sappu,1,,,left offering table,alabaster,tardennu morning ,Anu,365,12,,every day entire year,,
1,,sappu,5,,,offering table,gold,,Anu,365,12,,every day entire year,zarinu stand of algamisu stone,
2,barley beer,sappu,1,1,litre,cella,gold,,Anu,365,12,,every day entire year,,
2,labku beer,sappu,1,1,liter,cella,gold,,Anu,365,12,,every day entire year,,
2,nasu beer,sappu,1,1,litre,cella,gold,,Anu,365,12,,every day entire year,,
2,drawn wine,sappu,1,1,litre,cella,gold,,Anu,365,12,,every day entire year,,
2,milk,sappu,1,1,litre,cella,gold,,Anu,365,12,,every day entire year,,
2,Izallu wine,sappu,1,5,akalu,cella,gold,,Anu,365,12,,every day entire year,,
2,,tilimtu,1,,,cella,gold,,Anu and Antu,365,12,,every day entire year,stamped with almonds,
2,,tilimtu,1,,,cella,gold,,Anu and Antu,365,12,,every day entire year,stamped with rosettes,
2,,tilimtu,1,,,cella,gold,,Anu and Anut,365,12,,every day entire year,band around neck,
2,,tilimtu,1,,,cella,gold,,Anu and Antu,365,12,,every day entire year,...,
3,barley beer,sappu,3,,,right offering table,gold,,Antu,365,12,,every day entire year,,
3,labku beer,sappu,4,,,right offering table,gold,,Antu,365,12,,every day entire year,,
3,barley beer,sappu,3,,,left offering table,gold,,Antu,365,12,,every day entire year,,
3,labku beer,sappu,1,,,left offering table,gold,,Antu,365,12,,every day entire year,,
3,nasu beer,sappu,1,,,left offering table,gold,,Antu,365,12,,every day entire year,,
3,zarbabu beer,sappu,1,,,left offering table,gold,,Antu,365,12,,every day entire year,,
3,,sappu,12,,,,gold,,Ishtar,365,12,,every day entire year,,
3,,sappu,10,,,,gold,,Nanaya,365,12,,every day entire year,,
4,,sappu,,,,,gold,siditi ilani,,,,,,,
4,,tilimtu,2,,,,,,,,,,,,
5,barley flour,puru,1,486,litre,,,4 meals,"Anu, Antu, Ishtar, Nanaya, other gods",365,12,,every day entire year,,quantity given 3 different ways
5,emmer flour,puru,1,162,litre,,,4 meals,"Anu, Antu, Ishtar, Nanaya, other gods",365,12,,every day entire year,,540 litre total
5,sibtu loaf,,8,,,offering table,,rabu morning,Anu ,365,12,,every day entire year,,
5,sibtu loaf,,8,,,offering table,,tardennu morning,Anu,365,12,,every day entire year,,
5,sibtu loaf,,7,,,offering table,,rabu evening,Anu ,365,12,,every day entire year,,
5,sibtu loaf,,7,,,offering table,,rabu evening,Anu,365,12,,every day entire year,,made from above flour
5,sibtu loaf,,30,,,,,4 meals,Antu,365,12,,every day entire year,,
5,sibtu loaf,,30,,,,,4 meals,Ishtar,365,12,,every day entire year,,
5,sibtu loaf,,30,,,,,4 meals,Nanaya,365,12,,every day entire year,,
5,sibtu loaf,,12,,,seat of Anu and the household god of the cella of Antu,,4 meals,,365,12,,every day entire year,,
5,sibtu loaf,,4,,,before tiaras of Anu,,4 meals,,365,12,,every day entire year,,
5,sibtu loaf,,16,,,ziggurat and household god of ziggurat,,4 meals,,365,12,,every day entire year,,
5,sibtu loaf,,16,,,wings of the cella of Anu,,4 meals,,365,12,,every day entire year,,
5,sibtu loaf,,75,,,,,4 meals,other gods,365,12,,every day entire year,,
5,large loaves ,,,,,,,siditi ilani,,,,,,,
5,date cakes,,,,,,,siditi ilani,,,,,,,
5,large loaves ,,,,,,,guqqu offering,,,,,,,
5,date cakes,,,,,,,guqqu offering,,,,,,,
5,large loaves ,,,,,,,essesu ceremony,,,,,,,
5,date cakes,,,,,,,essesu ceremony,,,,,,,
5,large loaves ,,,,,,,pit babi,,,,,,,
5,date cakes,,,,,,,pit babi,,,,,,,
5,large loaves ,,,,,,,clothing ceremony,,,,,,,
5,date cakes,,,,,,,clothing ceremony,,,,,,,
5,large loaves ,,,,,,,holy water basin ceremony,,,,,,,
5,date cakes,,,,,,,holy water basin ceremony,,,,,,,
5,large loaves ,,,,,,,night vigil ceremony,,,,,,,
5,date cakes,,,,,,,night vigil ceremony,,,,,,,
5,large loaves ,,,,,,,brazier ceremony,,,,,,,
5,date cakes,,,,,,,brazier ceremony,,,,,,,
5,large loaves ,,,,,,,marriage rites,,,,,,,
5,date cakes,,,,,,,marriage rites,,,,,,,
5,large loaves ,,,,,,,karibu offerings,,,,,,,
5,date cakes,,,,,,,karibu offerings,,,,,,,
5,red cakes,reed baskets for muttaqu cakes,,,,,,offerings of the king,king,,,,,,
5,takkasu cakes,reed baskets for makutu cakes,,,,,,offerings of the king,king,,,,,,
5,kubbusu cakes,,,,,,,offerings of the king,king,,,,,,
5,kusipu loaves,,1200,,,upon the kalakku container,,,"Anu, Antu and other gods",,,,,,"baked in oil, placed under dates"
5,choice dates,,,,,upon the kalakku container,,,"Anu, Antu and other gods",,,,,,
5,Dilmun dates,,,,,upon the kalakku container,,,"Anu, Antu and other gods",,,,,,
5,pressed oil,,,,,upon the kalakku container,,,"Anu, Antu and other gods",,,,,,
5,mashatu flour,masappu baskets,,,,,,,,365,12,,every day entire year,,"delivered by baker to temple enterer, blessed with prayer"